chr	rho	r_cM	lenCorCor	lenClosest	lenMean	DFE_all	DFE_noCpG	genus	pop	species	Ne	Island	
1	0.004657267	2.738938	117954051	117954051	116424203	0.319	0.277715	Corvus	CorCorSpa	CorCor	102000	No	
1A	0.004220837	2.693167	73732264	73732264	72685834	0.297427	0.23566	Corvus	CorCorSpa	CorCor	102000	No	
2	0.004400537	2.813486	154331614	154331614	153125909	0.2965	0.201152	Corvus	CorCorSpa	CorCor	102000	No	
3	0.004693155	2.719641	114561924	114561924	112793376	0.339603	0.247086	Corvus	CorCorSpa	CorCor	102000	No	
4	0.004152717	2.459158	72976050	72976050	70015997	0.253505	0.163314	Corvus	CorCorSpa	CorCor	102000	No	
4A	0.007904417	5.151427	20451253	20451253	20223624	0.25078	0.15946	Corvus	CorCorSpa	CorCor	102000	No	
5	0.004403737	2.336388	59626954	59626954	61694345	0.331947	0.263548	Corvus	CorCorSpa	CorCor	102000	No	
6	0.005472718	3.338395	36514087	36514087	35613976	0.292966	0.274451	Corvus	CorCorSpa	CorCor	102000	No	
7	0.005517095	3.357229	39246143	39246143	38569009	0.342817	0.298948	Corvus	CorCorSpa	CorCor	102000	No	
8	0.007441223	4.450898	31775369	31775369	30597724	0.332021	0.29304	Corvus	CorCorSpa	CorCor	102000	No	
9	0.005318782	3.306046	25648982	25648982	25794245	0.341543	0.22655	Corvus	CorCorSpa	CorCor	102000	No	
10	0.006711985	4.498846	20525061	20525061	20492001	0.271086	0.185421	Corvus	CorCorSpa	CorCor	102000	No	
11	0.006358335	3.694092	20924582	20924582	20820935	0.343272	0.277684	Corvus	CorCorSpa	CorCor	102000	No	
12	0.007628523	4.377755	21037236	21037236	20957467	0.234284	0.122001	Corvus	CorCorSpa	CorCor	102000	No	
13	0.00796059	4.223173	19315571	19315571	17755544	0.29587	0.244007	Corvus	CorCorSpa	CorCor	102000	No	
14	0.009030785	5.010265	16611975	16611975	16464737	0.306571	0.2242	Corvus	CorCorSpa	CorCor	102000	No	
15	0.013582697	8.445695	14276578	14276578	14141293	0.299978	0.216606	Corvus	CorCorSpa	CorCor	102000	No	
17	0.010983337	5.843687	10972141	10972141	11265327	0.312647	0.236439	Corvus	CorCorSpa	CorCor	102000	No	
18	0.010723257	5.453749	12580095	12580095	11916102	0.307364	0.223302	Corvus	CorCorSpa	CorCor	102000	No	
19	0.0117709	6.527249	11197607	11197607	10999405	0.308086	0.236613	Corvus	CorCorSpa	CorCor	102000	No	
20	0.010401965	5.843016	15059066	15059066	15012468	0.320895	0.217851	Corvus	CorCorSpa	CorCor	102000	No	
21	0.009352103	5.421236	6847934	6847934	7075184	0.2394	0.187626	Corvus	CorCorSpa	CorCor	102000	No	
22	0.018651533	9.73451	4876366	4876366	4289794	0.313941	0.171118	Corvus	CorCorSpa	CorCor	102000	No	
23	0.015108233	11.534342	7530976	7530976	6815602	0.275263	0.16182	Corvus	CorCorSpa	CorCor	102000	No	
24	0.017591733	9.597122	6833524	6833524	7240039	0.246362	0.204127	Corvus	CorCorSpa	CorCor	102000	No	
26	0.015473967	6.923677	6657878	6657878	6301098	0.227399	0.24149	Corvus	CorCorSpa	CorCor	102000	No	
27	0.01123182	5.517907	4857840	4857840	4685442	0.242857	0.212831	Corvus	CorCorSpa	CorCor	102000	No	
28	0.015964583	8.610583	5284033	5284033	5221503	0.27834	0.194989	Corvus	CorCorSpa	CorCor	102000	No	
1	0.004657267	2.738938	117954051	117954051	116424203	0.330313	0.250889	Corvus	CorCrxPol	CorCor	102000	No	
1A	0.004220837	2.693167	73732264	73732264	72685834	0.307124	0.113097	Corvus	CorCrxPol	CorCor	102000	No	
2	0.004400537	2.813486	154331614	154331614	153125909	0.307036	0.233179	Corvus	CorCrxPol	CorCor	102000	No	
3	0.004693155	2.719641	114561924	114561924	112793376	0.261236	0.212647	Corvus	CorCrxPol	CorCor	102000	No	
4	0.004152717	2.459158	72976050	72976050	70015997	0.296459	0.233096	Corvus	CorCrxPol	CorCor	102000	No	
4A	0.007904417	5.151427	20451253	20451253	20223624	0.281391	0.231816	Corvus	CorCrxPol	CorCor	102000	No	
5	0.004403737	2.336388	59626954	59626954	61694345	0.342618	0.255652	Corvus	CorCrxPol	CorCor	102000	No	
6	0.005472718	3.338395	36514087	36514087	35613976	0.308854	0.125504	Corvus	CorCrxPol	CorCor	102000	No	
7	0.005517095	3.357229	39246143	39246143	38569009	0.394533	0.181456	Corvus	CorCrxPol	CorCor	102000	No	
8	0.007441223	4.450898	31775369	31775369	30597724	0.313357	0.246858	Corvus	CorCrxPol	CorCor	102000	No	
9	0.005318782	3.306046	25648982	25648982	25794245	0.301072	0.094225	Corvus	CorCrxPol	CorCor	102000	No	
10	0.006711985	4.498846	20525061	20525061	20492001	0.089112	0.029864	Corvus	CorCrxPol	CorCor	102000	No	
11	0.006358335	3.694092	20924582	20924582	20820935	0.202888	0.183655	Corvus	CorCrxPol	CorCor	102000	No	
12	0.007628523	4.377755	21037236	21037236	20957467	0.130641	0.209322	Corvus	CorCrxPol	CorCor	102000	No	
13	0.00796059	4.223173	19315571	19315571	17755544	0.247698	0.169789	Corvus	CorCrxPol	CorCor	102000	No	
14	0.009030785	5.010265	16611975	16611975	16464737	0.310557	0.235345	Corvus	CorCrxPol	CorCor	102000	No	
15	0.013582697	8.445695	14276578	14276578	14141293	0.286339	0.164092	Corvus	CorCrxPol	CorCor	102000	No	
17	0.010983337	5.843687	10972141	10972141	11265327	0.299494	0.086004	Corvus	CorCrxPol	CorCor	102000	No	
18	0.010723257	5.453749	12580095	12580095	11916102	0.253518	0.173211	Corvus	CorCrxPol	CorCor	102000	No	
19	0.0117709	6.527249	11197607	11197607	10999405	0.215677	0.12978	Corvus	CorCrxPol	CorCor	102000	No	
20	0.010401965	5.843016	15059066	15059066	15012468	0.180688	0.263675	Corvus	CorCrxPol	CorCor	102000	No	
21	0.009352103	5.421236	6847934	6847934	7075184	0.09538	0.107077	Corvus	CorCrxPol	CorCor	102000	No	
22	0.018651533	9.73451	4876366	4876366	4289794	0.182674	0.122648	Corvus	CorCrxPol	CorCor	102000	No	
23	0.015108233	11.534342	7530976	7530976	6815602	0.082501	0.036376	Corvus	CorCrxPol	CorCor	102000	No	
24	0.017591733	9.597122	6833524	6833524	7240039	0.148278	0.128244	Corvus	CorCrxPol	CorCor	102000	No	
26	0.015473967	6.923677	6657878	6657878	6301098	0.234016	0.119546	Corvus	CorCrxPol	CorCor	102000	No	
27	0.01123182	5.517907	4857840	4857840	4685442	0.086467	0.027416	Corvus	CorCrxPol	CorCor	102000	No	
28	0.015964583	8.610583	5284033	5284033	5221503	0.272662	0.079469	Corvus	CorCrxPol	CorCor	102000	No	
1	0.004657267	2.738938	117954051	117954051	116424203	0.387748	0.283721	Corvus	CorMdl	CorMdl	63236	Yes	
1A	0.004220837	2.693167	73732264	73732264	72685834	0.362356	0.260455	Corvus	CorMdl	CorMdl	63236	Yes	
2	0.004400537	2.813486	154331614	154331614	153125909	0.365322	0.270738	Corvus	CorMdl	CorMdl	63236	Yes	
3	0.004693155	2.719641	114561924	114561924	112793376	0.36433	0.296829	Corvus	CorMdl	CorMdl	63236	Yes	
4	0.004152717	2.459158	72976050	72976050	70015997	0.368457	0.259174	Corvus	CorMdl	CorMdl	63236	Yes	
4A	0.007904417	5.151427	20451253	20451253	20223624	0.337499	0.19754	Corvus	CorMdl	CorMdl	63236	Yes	
5	0.004403737	2.336388	59626954	59626954	61694345	0.365075	0.25556	Corvus	CorMdl	CorMdl	63236	Yes	
6	0.005472718	3.338395	36514087	36514087	35613976	0.373951	0.301541	Corvus	CorMdl	CorMdl	63236	Yes	
7	0.005517095	3.357229	39246143	39246143	38569009	0.395663	0.303677	Corvus	CorMdl	CorMdl	63236	Yes	
8	0.007441223	4.450898	31775369	31775369	30597724	0.359421	0.250134	Corvus	CorMdl	CorMdl	63236	Yes	
9	0.005318782	3.306046	25648982	25648982	25794245	0.344896	0.234732	Corvus	CorMdl	CorMdl	63236	Yes	
10	0.006711985	4.498846	20525061	20525061	20492001	0.376505	0.252743	Corvus	CorMdl	CorMdl	63236	Yes	
11	0.006358335	3.694092	20924582	20924582	20820935	0.350992	0.247543	Corvus	CorMdl	CorMdl	63236	Yes	
12	0.007628523	4.377755	21037236	21037236	20957467	0.358558	0.225238	Corvus	CorMdl	CorMdl	63236	Yes	
13	0.00796059	4.223173	19315571	19315571	17755544	0.345984	0.20883	Corvus	CorMdl	CorMdl	63236	Yes	
14	0.009030785	5.010265	16611975	16611975	16464737	0.37032	0.25072	Corvus	CorMdl	CorMdl	63236	Yes	
15	0.013582697	8.445695	14276578	14276578	14141293	0.281664	0.149613	Corvus	CorMdl	CorMdl	63236	Yes	
17	0.010983337	5.843687	10972141	10972141	11265327	0.32191	0.228458	Corvus	CorMdl	CorMdl	63236	Yes	
18	0.010723257	5.453749	12580095	12580095	11916102	0.324417	0.237944	Corvus	CorMdl	CorMdl	63236	Yes	
19	0.0117709	6.527249	11197607	11197607	10999405	0.348989	0.230433	Corvus	CorMdl	CorMdl	63236	Yes	
20	0.010401965	5.843016	15059066	15059066	15012468	0.304228	0.203143	Corvus	CorMdl	CorMdl	63236	Yes	
21	0.009352103	5.421236	6847934	6847934	7075184	0.310735	0.172443	Corvus	CorMdl	CorMdl	63236	Yes	
22	0.018651533	9.73451	4876366	4876366	4289794	0.256103	0.186243	Corvus	CorMdl	CorMdl	63236	Yes	
23	0.015108233	11.534342	7530976	7530976	6815602	0.325992	0.15593	Corvus	CorMdl	CorMdl	63236	Yes	
24	0.017591733	9.597122	6833524	6833524	7240039	0.333013	0.199005	Corvus	CorMdl	CorMdl	63236	Yes	
26	0.015473967	6.923677	6657878	6657878	6301098	0.337787	0.220566	Corvus	CorMdl	CorMdl	63236	Yes	
27	0.01123182	5.517907	4857840	4857840	4685442	0.333979	0.171869	Corvus	CorMdl	CorMdl	63236	Yes	
28	0.015964583	8.610583	5284033	5284033	5221503	0.289516	0.179712	Corvus	CorMdl	CorMdl	63236	Yes	
1	0.004657267	2.738938	117954051	120002344	116424203	0.313735	0.228129	Ficedula	FicAlbAll	FicAlb	228009.6	No	[,1]
1A	0.004220837	2.693167	73732264	74947036	72685834	0.309742	0.235724	Ficedula	FicAlbAll	FicAlb	228009.6	No	
2	0.004400537	2.813486	154331614	157563209	153125909	0.290297	0.220573	Ficedula	FicAlbAll	FicAlb	228009.6	No	
3	0.004693155	2.719641	114561924	115844353	112793376	0.290799	0.213653	Ficedula	FicAlbAll	FicAlb	228009.6	No	
4	0.004152717	2.459158	72976050	70439523	70015997	0.311637	0.220946	Ficedula	FicAlbAll	FicAlb	228009.6	No	
4A	0.007904417	5.151427	20451253	21182716	20223624	0.132191	0.084986	Ficedula	FicAlbAll	FicAlb	228009.6	No	
5	0.004403737	2.336388	59626954	64724594	61694345	0.305717	0.224262	Ficedula	FicAlbAll	FicAlb	228009.6	No	
6	0.005472718	3.338395	36514087	37227452	35613976	0.329374	0.240755	Ficedula	FicAlbAll	FicAlb	228009.6	No	
7	0.005517095	3.357229	39246143	39412007	38569009	0.270551	0.205244	Ficedula	FicAlbAll	FicAlb	228009.6	No	
8	0.007441223	4.450898	31775369	32100816	30597724	0.32565	0.217047	Ficedula	FicAlbAll	FicAlb	228009.6	No	
9	0.005318782	3.306046	25648982	26793321	25794245	0.324236	0.206753	Ficedula	FicAlbAll	FicAlb	228009.6	No	
10	0.006711985	4.498846	20525061	21346708	20492001	0.149275	0.184718	Ficedula	FicAlbAll	FicAlb	228009.6	No	
11	0.006358335	3.694092	20924582	21727166	20820935	0.157707	0.085252	Ficedula	FicAlbAll	FicAlb	228009.6	No	
12	0.007628523	4.377755	21037236	21938106	20957467	0.138151	0.095132	Ficedula	FicAlbAll	FicAlb	228009.6	No	
13	0.00796059	4.223173	19315571	18641552	17755544	0.140527	0.084383	Ficedula	FicAlbAll	FicAlb	228009.6	No	
14	0.009030785	5.010265	16611975	17374186	16464737	0.301731	0.11187	Ficedula	FicAlbAll	FicAlb	228009.6	No	
15	0.013582697	8.445695	14276578	14943019	14141293	0.144387	0.169864	Ficedula	FicAlbAll	FicAlb	228009.6	No	
17	0.010983337	5.843687	10972141	12378331	11265327	0.327219	0.215558	Ficedula	FicAlbAll	FicAlb	228009.6	No	
18	0.010723257	5.453749	12580095	13163162	11916102	0.165255	0.10125	Ficedula	FicAlbAll	FicAlb	228009.6	No	
19	0.0117709	6.527249	11197607	11933672	10999405	0.12099	0.070795	Ficedula	FicAlbAll	FicAlb	228009.6	No	
20	0.010401965	5.843016	15059066	15675940	15012468	0.148292	0.100897	Ficedula	FicAlbAll	FicAlb	228009.6	No	
21	0.009352103	5.421236	6847934	8073070	7075184	0.131795	0.073148	Ficedula	FicAlbAll	FicAlb	228009.6	No	
22	0.018651533	9.73451	4876366	5733621	4289794	0.094888	0.053097	Ficedula	FicAlbAll	FicAlb	228009.6	No	
23	0.015108233	11.534342	7530976	7944683	6815602	0.09953	0.070869	Ficedula	FicAlbAll	FicAlb	228009.6	No	
24	0.017591733	9.597122	6833524	8009359	7240039	0.291966	0.163226	Ficedula	FicAlbAll	FicAlb	228009.6	No	
26	0.015473967	6.923677	6657878	7653694	6301098	0.126448	0.083898	Ficedula	FicAlbAll	FicAlb	228009.6	No	
27	0.01123182	5.517907	4857840	5572044	4685442	0.118878	0.088221	Ficedula	FicAlbAll	FicAlb	228009.6	No	
28	0.015964583	8.610583	5284033	6182350	5221503	0.107946	0.066989	Ficedula	FicAlbAll	FicAlb	228009.6	No	
1	0.004657267	2.738938	117954051	120002344	116424203	0.318879	0.14885	Ficedula	FicAlbIta	FicAlb	228009.6	No	
1A	0.004220837	2.693167	73732264	74947036	72685834	0.221234	0.150989	Ficedula	FicAlbIta	FicAlb	228009.6	No	
2	0.004400537	2.813486	154331614	157563209	153125909	0.299239	0.128306	Ficedula	FicAlbIta	FicAlb	228009.6	No	
3	0.004693155	2.719641	114561924	115844353	112793376	0.206282	0.213997	Ficedula	FicAlbIta	FicAlb	228009.6	No	
4	0.004152717	2.459158	72976050	70439523	70015997	0.330111	0.154004	Ficedula	FicAlbIta	FicAlb	228009.6	No	
4A	0.007904417	5.151427	20451253	21182716	20223624	0.169624	0.110411	Ficedula	FicAlbIta	FicAlb	228009.6	No	
5	0.004403737	2.336388	59626954	64724594	61694345	0.199719	0.12182	Ficedula	FicAlbIta	FicAlb	228009.6	No	
6	0.005472718	3.338395	36514087	37227452	35613976	0.205811	0.13563	Ficedula	FicAlbIta	FicAlb	228009.6	No	
7	0.005517095	3.357229	39246143	39412007	38569009	0.189085	0.140012	Ficedula	FicAlbIta	FicAlb	228009.6	No	
8	0.007441223	4.450898	31775369	32100816	30597724	0.155507	0.099279	Ficedula	FicAlbIta	FicAlb	228009.6	No	
9	0.005318782	3.306046	25648982	26793321	25794245	0.226347	0.132045	Ficedula	FicAlbIta	FicAlb	228009.6	No	
10	0.006711985	4.498846	20525061	21346708	20492001	0.168068	0.096067	Ficedula	FicAlbIta	FicAlb	228009.6	No	
11	0.006358335	3.694092	20924582	21727166	20820935	0.154114	0.079498	Ficedula	FicAlbIta	FicAlb	228009.6	No	
